acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-14716,-116,-6408,-383,351,-11,2026-01-22 11:38:11,0.0
-14736,-4,-6308,-444,253,-51,2026-01-22 11:38:11,0.0
-14928,-68,-6200,-363,452,18,2026-01-22 11:38:11,0.0
-14824,16,-6232,-410,435,21,2026-01-22 11:38:11,0.0
-14872,-20,-6388,-403,495,40,2026-01-22 11:38:11,0.0
-14804,-20,-6320,-376,447,-27,2026-01-22 11:38:11,0.0
-14708,-92,-6452,-472,568,-14,2026-01-22 11:38:11,0.0
-14724,-108,-6304,-418,667,-26,2026-01-22 11:38:12,0.0
-14784,-20,-6224,-413,372,-28,2026-01-22 11:38:12,0.0
-14768,-100,-6464,-450,410,-47,2026-01-22 11:38:12,0.0
-14768,0,-6460,-375,447,2,2026-01-22 11:38:12,0.0
-14800,0,-6444,-437,482,7,2026-01-22 11:38:12,0.0
-14792,16,-6560,-417,451,-16,2026-01-22 11:38:12,0.0
-14744,-120,-6288,-435,368,-30,2026-01-22 11:38:12,0.0
-14808,-40,-6220,-441,403,-42,2026-01-22 11:38:12,0.0
-14824,-88,-6380,-372,393,14,2026-01-22 11:38:13,0.0
-14880,-128,-6376,-503,464,-23,2026-01-22 11:38:13,0.0
-14768,-48,-6604,-383,575,-15,2026-01-22 11:38:13,0.0
-14760,16,-6416,-326,398,47,2026-01-22 11:38:13,0.0
-14780,-32,-6244,-456,330,-32,2026-01-22 11:38:13,0.0
-14920,-68,-6328,-412,418,-4,2026-01-22 11:38:13,0.0
-14804,16,-6352,-326,453,-21,2026-01-22 11:38:13,0.0
-14824,-20,-6372,-525,510,-37,2026-01-22 11:38:14,0.0
-14772,76,-6192,-393,498,-30,2026-01-22 11:38:14,0.0
-14936,132,-6380,-335,285,22,2026-01-22 11:38:14,0.0
-14800,120,-6420,-419,310,-10,2026-01-22 11:38:14,0.0
-14832,88,-6428,-481,377,-9,2026-01-22 11:38:14,0.0
-14812,-32,-6336,-414,536,-40,2026-01-22 11:38:14,0.0
-14780,48,-6600,-478,622,-87,2026-01-22 11:38:14,0.0
-14724,-8,-6292,-413,477,-43,2026-01-22 11:38:14,0.0
-14788,-8,-6520,-365,376,13,2026-01-22 11:38:15,0.0
-14752,32,-6456,-467,397,-15,2026-01-22 11:38:15,0.0
-14768,44,-6368,-437,504,-55,2026-01-22 11:38:15,0.0
-14844,-32,-6408,-491,428,-45,2026-01-22 11:38:15,0.0
-14828,104,-6468,-421,530,-29,2026-01-22 11:38:15,0.0
-14900,4,-6444,-295,373,61,2026-01-22 11:38:15,0.0
-14816,76,-6288,-461,531,-54,2026-01-22 11:38:15,0.0
-14784,-40,-6500,-438,541,-57,2026-01-22 11:38:15,0.0
-14820,20,-6560,-320,304,6,2026-01-22 11:38:16,0.0
-14796,148,-6436,-292,391,-6,2026-01-22 11:38:16,0.0
-14680,56,-6228,-417,1516,-92,2026-01-22 11:38:16,0.0
-14724,28,-6500,-426,522,-8,2026-01-22 11:38:16,0.0
-14800,56,-6512,-502,-47,-11,2026-01-22 11:38:16,0.0
-14764,40,-6356,-547,493,21,2026-01-22 11:38:16,0.0
-14812,52,-6448,-510,573,-36,2026-01-22 11:38:16,0.0
-14812,64,-6440,-287,345,-4,2026-01-22 11:38:17,0.0
-14736,56,-6480,-219,506,32,2026-01-22 11:38:17,0.0
-14868,208,-6528,-493,427,-23,2026-01-22 11:38:17,0.0
-14768,96,-6328,-511,283,-78,2026-01-22 11:38:17,0.0
-14644,16,-6364,-522,378,-59,2026-01-22 11:38:17,0.0
-14696,-44,-6324,-442,481,-32,2026-01-22 11:38:17,0.0
-14836,24,-6248,-474,325,-72,2026-01-22 11:38:17,0.0
-14744,-28,-6296,-478,513,-52,2026-01-22 11:38:17,0.0
-14764,104,-6628,-329,366,34,2026-01-22 11:38:18,0.0
-14820,-80,-6452,-425,417,-4,2026-01-22 11:38:18,0.0
-14844,68,-6388,-347,921,20,2026-01-22 11:38:18,0.0
-14804,84,-6720,-319,355,22,2026-01-22 11:38:18,0.0
-14620,76,-6580,-559,295,-108,2026-01-22 11:38:18,0.0
-14636,-100,-6616,-344,278,24,2026-01-22 11:38:18,0.0
-14812,144,-6648,-433,458,-22,2026-01-22 11:38:18,0.0
-14792,-36,-6424,-160,-77,86,2026-01-22 11:38:19,0.0
-14836,92,-6396,-352,421,-17,2026-01-22 11:38:19,0.0
-14716,32,-6304,-291,414,-8,2026-01-22 11:38:19,0.0
-14884,160,-6340,-296,389,81,2026-01-22 11:38:19,0.0
-14844,144,-6536,-395,344,-15,2026-01-22 11:38:19,0.0
-14760,132,-6108,-435,630,-78,2026-01-22 11:38:19,0.0
-14812,48,-6464,-480,470,-60,2026-01-22 11:38:19,0.0
